streetname,from_st,to_st
04TH AVE,CORNWALL ST,CLEMENT ST
04TH AVE,CLEMENT ST,GEARY BLVD
04TH AVE,GEARY BLVD,ANZA ST
04TH AVE,ANZA ST,BALBOA ST
04TH AVE,BALBOA ST,CABRILLO ST
04TH AVE,CABRILLO ST,FULTON ST
ANZA ST,04TH AVE,Intersection
BALBOA ST,04TH AVE,Intersection
CABRILLO ST,04TH AVE,Intersection
CALIFORNIA ST,04TH AVE,Intersection
CLEMENT ST,04TH AVE,Intersection
CORNWALL ST,04TH AVE,Intersection
GEARY BLVD,04TH AVE,Intersection
46TH AVE,LINCOLN WAY,IRVING ST
46TH AVE,IRVING ST,JUDAH ST
46TH AVE,JUDAH ST,KIRKHAM ST
46TH AVE,KIRKHAM ST,LAWTON ST
46TH AVE,LAWTON ST,MORAGA ST
46TH AVE,MORAGA ST,NORIEGA ST
46TH AVE,NORIEGA ST,ORTEGA ST
46TH AVE,ORTEGA ST,PACHECO ST
46TH AVE,PACHECO ST,QUINTARA ST
46TH AVE,QUINTARA ST,RIVERA ST
46TH AVE,RIVERA ST,SANTIAGO ST
46TH AVE,SANTIAGO ST,TARAVAL ST
IRVING ST,46TH AVE,Intersection
JUDAH ST,46TH AVE,Intersection
KIRKHAM ST,46TH AVE,Intersection
LAWTON ST,46TH AVE,Intersection
MORAGA ST,46TH AVE,Intersection
NORIEGA ST,46TH AVE,Intersection
ORTEGA ST,46TH AVE,Intersection
PACHECO ST,46TH AVE,Intersection
QUINTARA ST,46TH AVE,Intersection
RIVERA ST,46TH AVE,Intersection
SANTIAGO ST,46TH AVE,Intersection
47TH AVE,LINCOLN WAY,IRVING ST
47TH AVE,IRVING ST,JUDAH ST
47TH AVE,JUDAH ST,KIRKHAM ST
47TH AVE,KIRKHAM ST,LAWTON ST
47TH AVE,LAWTON ST,MORAGA ST
47TH AVE,MORAGA ST,NORIEGA ST
47TH AVE,NORIEGA ST,ORTEGA ST
47TH AVE,ORTEGA ST,PACHECO ST
47TH AVE,PACHECO ST,QUINTARA ST
47TH AVE,QUINTARA ST,RIVERA ST
47TH AVE,RIVERA ST,SANTIAGO ST
47TH AVE,SANTIAGO ST,TARAVAL ST
IRVING ST,47TH AVE,Intersection
JUDAH ST,47TH AVE,Intersection
KIRKHAM ST,47TH AVE,Intersection
LAWTON ST,47TH AVE,Intersection
MORAGA ST,47TH AVE,Intersection
NORIEGA ST,47TH AVE,Intersection
ORTEGA ST,47TH AVE,Intersection
PACHECO ST,47TH AVE,Intersection
QUINTARA ST,47TH AVE,Intersection
RIVERA ST,47TH AVE,Intersection
SANTIAGO ST,47TH AVE,Intersection
09TH AVE,CLEMENT ST,GEARY BLVD
GEARY BLVD,09TH AVE,10TH AVE
48TH AVE,LINCOLN WAY,IRVING ST
48TH AVE,IRVING ST,JUDAH ST
48TH AVE,JUDAH ST,KIRKHAM ST
48TH AVE,KIRKHAM ST,LAWTON ST
48TH AVE,LAWTON ST,MORAGA ST
48TH AVE,MORAGA ST,NORIEGA ST
48TH AVE,NORIEGA ST,ORTEGA ST
48TH AVE,ORTEGA ST,PACHECO ST
48TH AVE,PACHECO ST,QUINTARA ST
48TH AVE,QUINTARA ST,RIVERA ST
48TH AVE,QUINTARA ST,RIVERA ST
48TH AVE,RIVERA ST,SANTIAGO ST
48TH AVE,SANTIAGO ST,GREAT HWY \ TARAVAL ST
IRVING ST,48TH AVE,Intersection
JUDAH ST,48TH AVE,Intersection
KIRKHAM ST,48TH AVE,Intersection
LAWTON ST,48TH AVE,Intersection
MORAGA ST,48TH AVE,Intersection
NORIEGA ST,48TH AVE,Intersection
ORTEGA ST,48TH AVE,Intersection
PACHECO ST,48TH AVE,Intersection
QUINTARA ST,48TH AVE,Intersection
RIVERA ST,48TH AVE,Intersection
SANTIAGO ST,48TH AVE,Intersection
09TH AVE,CLEMENT ST,GEARY BLVD
GEARY BLVD,08TH AVE,09TH AVE
GEARY BLVD,09TH AVE,10TH AVE
KIRKHAM ST,19TH AVE,20TH AVE
KIRKHAM ST,19TH AVE,20TH AVE
GREAT HWY,KIRKHAM ST \ LA PLAYA,LA PLAYA \ LAWTON ST
GREAT HWY,LA PLAYA,MORAGA ST
GREAT HWY,MORAGA ST,NORIEGA ST
GREAT HWY,NORIEGA ST,ORTEGA ST
GREAT HWY,ORTEGA ST,PACHECO ST
GREAT HWY,PACHECO ST,QUINTARA ST
GREAT HWY,QUINTARA ST,RIVERA ST
LA PLAYA,GREAT HWY \ KIRKHAM ST,Intersection
LA PLAYA,JUDAH ST,Intersection
LA PLAYA,IRVING ST,Intersection
LA PLAYA,GREAT HWY,Intersection
LA PLAYA,LINCOLN WAY \ MARTIN LUTHER KING JR DR,IRVING ST
LA PLAYA,IRVING ST,JUDAH ST
LA PLAYA,JUDAH ST,GREAT HWY \ KIRKHAM ST
LA PLAYA,GREAT HWY \ LAWTON ST,GREAT HWY
LAWTON ST,GREAT HWY \ LA PLAYA,Intersection
MORAGA ST,GREAT HWY,Intersection
NORIEGA ST,GREAT HWY,Intersection
ORTEGA ST,GREAT HWY,Intersection
PACHECO ST,GREAT HWY,Intersection
QUINTARA ST,GREAT HWY,Intersection
41ST AVE,CHAIN OF LAKES DR \ LINCOLN WAY,IRVING ST
41ST AVE,IRVING ST,JUDAH ST
41ST AVE,JUDAH ST,KIRKHAM ST
41ST AVE,KIRKHAM ST,LAWTON ST
41ST AVE,LAWTON ST,MORAGA ST
41ST AVE,MORAGA ST,NORIEGA ST
41ST AVE,NORIEGA ST,ORTEGA ST
41ST AVE,ORTEGA ST,PACHECO ST
41ST AVE,PACHECO ST,QUINTARA ST
41ST AVE,QUINTARA ST,RIVERA ST
41ST AVE,RIVERA ST,SANTIAGO ST
41ST AVE,SANTIAGO ST,TARAVAL ST
43RD AVE,LINCOLN WAY,IRVING ST
43RD AVE,IRVING ST,JUDAH ST
43RD AVE,JUDAH ST,KIRKHAM ST
43RD AVE,KIRKHAM ST,LAWTON ST
43RD AVE,LAWTON ST,MORAGA ST
43RD AVE,MORAGA ST,NORIEGA ST
43RD AVE,NORIEGA ST,ORTEGA ST
43RD AVE,ORTEGA ST,PACHECO ST
43RD AVE,PACHECO ST,QUINTARA ST
43RD AVE,QUINTARA ST,RIVERA ST
43RD AVE,RIVERA ST,SANTIAGO ST
43RD AVE,SANTIAGO ST,TARAVAL ST
44TH AVE,LINCOLN WAY,IRVING ST
44TH AVE,IRVING ST,JUDAH ST
44TH AVE,JUDAH ST,KIRKHAM ST
44TH AVE,KIRKHAM ST,LAWTON ST
44TH AVE,LAWTON ST,MORAGA ST
44TH AVE,MORAGA ST,NORIEGA ST
44TH AVE,NORIEGA ST,ORTEGA ST
44TH AVE,ORTEGA ST,PACHECO ST
44TH AVE,PACHECO ST,QUINTARA ST
44TH AVE,QUINTARA ST,RIVERA ST
44TH AVE,RIVERA ST,SANTIAGO ST
44TH AVE,SANTIAGO ST,TARAVAL ST
IRVING ST,41ST AVE,Intersection
IRVING ST,43RD AVE,Intersection
IRVING ST,44TH AVE,Intersection
JUDAH ST,41ST AVE,Intersection
JUDAH ST,43RD AVE,Intersection
JUDAH ST,44TH AVE,Intersection
KIRKHAM ST,43RD AVE,Intersection
KIRKHAM ST,44TH AVE,Intersection
KIRKHAM ST,41ST AVE,Intersection
LAWTON ST,41ST AVE,Intersection
LAWTON ST,43RD AVE,Intersection
LAWTON ST,44TH AVE,Intersection
MORAGA ST,41ST AVE,Intersection
MORAGA ST,43RD AVE,Intersection
MORAGA ST,44TH AVE,Intersection
NORIEGA ST,41ST AVE,Intersection
NORIEGA ST,43RD AVE,Intersection
NORIEGA ST,44TH AVE,Intersection
ORTEGA ST,41ST AVE,Intersection
ORTEGA ST,43RD AVE,Intersection
ORTEGA ST,44TH AVE,Intersection
PACHECO ST,43RD AVE,Intersection
PACHECO ST,44TH AVE,Intersection
PACHECO ST,41ST AVE,Intersection
QUINTARA ST,41ST AVE,Intersection
QUINTARA ST,43RD AVE,Intersection
QUINTARA ST,44TH AVE,Intersection
RIVERA ST,41ST AVE,Intersection
RIVERA ST,43RD AVE,Intersection
RIVERA ST,44TH AVE,Intersection
SANTIAGO ST,41ST AVE,Intersection
SANTIAGO ST,43RD AVE,Intersection
SANTIAGO ST,44TH AVE,Intersection
05TH AVE,LAKE ST,CALIFORNIA ST
05TH AVE,CALIFORNIA ST,CORNWALL ST
05TH AVE,CORNWALL ST,CLEMENT ST
05TH AVE,CLEMENT ST,GEARY BLVD
05TH AVE,GEARY BLVD,ANZA ST
05TH AVE,ANZA ST,BALBOA ST
05TH AVE,BALBOA ST,CABRILLO ST
05TH AVE,CABRILLO ST,FULTON ST
ANZA ST,05TH AVE,Intersection
BALBOA ST,05TH AVE,Intersection
CABRILLO ST,05TH AVE,Intersection
CALIFORNIA ST,05TH AVE,Intersection
CLEMENT ST,05TH AVE,Intersection
CORNWALL ST,05TH AVE,Intersection
GEARY BLVD,05TH AVE,Intersection
06TH AVE,LAKE ST,CALIFORNIA ST
06TH AVE,CALIFORNIA ST,CORNWALL ST
06TH AVE,CORNWALL ST,CLEMENT ST
06TH AVE,CLEMENT ST,GEARY BLVD
06TH AVE,GEARY BLVD,ANZA ST
06TH AVE,ANZA ST,BALBOA ST
06TH AVE,BALBOA ST,CABRILLO ST
06TH AVE,CABRILLO ST,FULTON ST
ANZA ST,06TH AVE,Intersection
BALBOA ST,06TH AVE,Intersection
CABRILLO ST,06TH AVE,Intersection
CALIFORNIA ST,06TH AVE,Intersection
CLEMENT ST,06TH AVE,Intersection
CORNWALL ST,06TH AVE,Intersection
GEARY BLVD,06TH AVE,Intersection
09TH AVE,LAKE ST,CALIFORNIA ST
09TH AVE,CALIFORNIA ST,CLEMENT ST
09TH AVE,CLEMENT ST,GEARY BLVD
09TH AVE,GEARY BLVD,ANZA ST
09TH AVE,ANZA ST,BALBOA ST
09TH AVE,BALBOA ST,CABRILLO ST
09TH AVE,CABRILLO ST,FULTON ST
ANZA ST,09TH AVE,Intersection
BALBOA ST,09TH AVE,Intersection
CABRILLO ST,09TH AVE,Intersection
CALIFORNIA ST,09TH AVE,Intersection
CLEMENT ST,09TH AVE,Intersection
GEARY BLVD,09TH AVE,Intersection
19TH AVE,KIRKHAM ST,LAWTON ST
06TH AVE,LAKE ST,CALIFORNIA ST
06TH AVE,CALIFORNIA ST,CORNWALL ST
06TH AVE,CORNWALL ST,CLEMENT ST
06TH AVE,CLEMENT ST,GEARY BLVD
06TH AVE,GEARY BLVD,ANZA ST
06TH AVE,ANZA ST,BALBOA ST
06TH AVE,BALBOA ST,CABRILLO ST
06TH AVE,CABRILLO ST,FULTON ST
07TH AVE,END,LAKE ST
07TH AVE,LAKE ST,CALIFORNIA ST \ CORNWALL ST
07TH AVE,CALIFORNIA ST \ CORNWALL ST,CLEMENT ST
07TH AVE,CLEMENT ST,GEARY BLVD
07TH AVE,GEARY BLVD,ANZA ST
07TH AVE,ANZA ST,BALBOA ST
07TH AVE,BALBOA ST,CABRILLO ST
07TH AVE,CABRILLO ST,FULTON ST
ANZA ST,06TH AVE,Intersection
ANZA ST,07TH AVE,Intersection
BALBOA ST,06TH AVE,Intersection
BALBOA ST,07TH AVE,Intersection
CABRILLO ST,06TH AVE,Intersection
CABRILLO ST,07TH AVE,Intersection
CALIFORNIA ST,06TH AVE,Intersection
CLEMENT ST,06TH AVE,Intersection
CLEMENT ST,07TH AVE,Intersection
CORNWALL ST,07TH AVE \ CALIFORNIA ST,Intersection
CORNWALL ST,06TH AVE,Intersection
GEARY BLVD,06TH AVE,Intersection
GEARY BLVD,07TH AVE,Intersection
LAKE ST,07TH AVE,Intersection
10TH AVE,END,LAKE ST
10TH AVE,LAKE ST,CALIFORNIA ST
10TH AVE,CALIFORNIA ST,CLEMENT ST
10TH AVE,CLEMENT ST,GEARY BLVD
10TH AVE,GEARY BLVD,ANZA ST
10TH AVE,ANZA ST,BALBOA ST
10TH AVE,BALBOA ST,CABRILLO ST
10TH AVE,CABRILLO ST,FULTON ST
11TH AVE,END,LAKE ST
11TH AVE,LAKE ST,CALIFORNIA ST
11TH AVE,CALIFORNIA ST,CLEMENT ST
11TH AVE,CLEMENT ST,GEARY BLVD
11TH AVE,GEARY BLVD,ANZA ST
11TH AVE,ANZA ST,BALBOA ST
11TH AVE,BALBOA ST,CABRILLO ST
11TH AVE,CABRILLO ST,FULTON ST
12TH AVE,END,LAKE ST
12TH AVE,LAKE ST,CALIFORNIA ST
12TH AVE,CALIFORNIA ST,CLEMENT ST
12TH AVE,CLEMENT ST,GEARY BLVD
12TH AVE,GEARY BLVD,ANZA ST
12TH AVE,ANZA ST,BALBOA ST
12TH AVE,BALBOA ST,CABRILLO ST
12TH AVE,CABRILLO ST,FULTON ST
ANZA ST,10TH AVE,Intersection
ANZA ST,11TH AVE,Intersection
ANZA ST,12TH AVE,Intersection
BALBOA ST,10TH AVE,Intersection
BALBOA ST,11TH AVE,Intersection
BALBOA ST,12TH AVE,Intersection
CABRILLO ST,11TH AVE,Intersection
CABRILLO ST,12TH AVE,Intersection
CABRILLO ST,10TH AVE,Intersection
CALIFORNIA ST,10TH AVE,Intersection
CALIFORNIA ST,11TH AVE,Intersection
CALIFORNIA ST,12TH AVE,Intersection
CLEMENT ST,10TH AVE,Intersection
CLEMENT ST,11TH AVE,Intersection
CLEMENT ST,12TH AVE,Intersection
GEARY BLVD,10TH AVE,Intersection
GEARY BLVD,11TH AVE,Intersection
GEARY BLVD,12TH AVE,Intersection
LAKE ST,10TH AVE,Intersection
LAKE ST,11TH AVE,Intersection
LAKE ST,12TH AVE,Intersection
06TH AVE,CALIFORNIA ST,CORNWALL ST
06TH AVE,CORNWALL ST,CLEMENT ST
06TH AVE,BALBOA ST,CABRILLO ST
06TH AVE,CABRILLO ST,FULTON ST
CABRILLO ST,06TH AVE,Intersection
CORNWALL ST,06TH AVE,Intersection
26TH AVE,EL CAMINO DEL MAR,LAKE ST
26TH AVE,LAKE ST,CALIFORNIA ST
26TH AVE,CALIFORNIA ST,CLEMENT ST
26TH AVE,CLEMENT ST,GEARY BLVD
26TH AVE,GEARY BLVD,ANZA ST
26TH AVE,ANZA ST,BALBOA ST
26TH AVE,BALBOA ST,CABRILLO ST
26TH AVE,CABRILLO ST,FULTON ST
27TH AVE,EL CAMINO DEL MAR,LAKE ST
27TH AVE,LAKE ST,CALIFORNIA ST
27TH AVE,CALIFORNIA ST,CLEMENT ST
27TH AVE,CLEMENT ST,GEARY BLVD
27TH AVE,GEARY BLVD,ANZA ST
27TH AVE,ANZA ST,BALBOA ST
27TH AVE,BALBOA ST,CABRILLO ST
27TH AVE,CABRILLO ST,FULTON ST
28TH AVE,CALIFORNIA ST,CLEMENT ST
28TH AVE,CLEMENT ST,GEARY BLVD
28TH AVE,GEARY BLVD,ANZA ST
28TH AVE,ANZA ST,BALBOA ST
28TH AVE,BALBOA ST,CABRILLO ST
28TH AVE,CABRILLO ST,FULTON ST
29TH AVE,CALIFORNIA ST,CLEMENT ST
29TH AVE,CLEMENT ST,GEARY BLVD
29TH AVE,GEARY BLVD,ANZA ST
29TH AVE,ANZA ST,BALBOA ST
29TH AVE,BALBOA ST,CABRILLO ST
29TH AVE,CABRILLO ST,FULTON ST
ANZA ST,26TH AVE,Intersection
ANZA ST,27TH AVE,Intersection
ANZA ST,28TH AVE,Intersection
ANZA ST,29TH AVE,Intersection
BALBOA ST,26TH AVE,Intersection
BALBOA ST,27TH AVE,Intersection
BALBOA ST,28TH AVE,Intersection
BALBOA ST,29TH AVE,Intersection
CABRILLO ST,26TH AVE,Intersection
CABRILLO ST,27TH AVE,Intersection
CABRILLO ST,28TH AVE,Intersection
CABRILLO ST,29TH AVE,Intersection
CALIFORNIA ST,26TH AVE,Intersection
CALIFORNIA ST,27TH AVE,Intersection
CLEMENT ST,26TH AVE,Intersection
CLEMENT ST,27TH AVE,Intersection
CLEMENT ST,28TH AVE,Intersection
CLEMENT ST,29TH AVE,Intersection
GEARY BLVD,26TH AVE,Intersection
GEARY BLVD,27TH AVE,Intersection
GEARY BLVD,28TH AVE,Intersection
GEARY BLVD,29TH AVE,Intersection
LAKE ST,26TH AVE,Intersection
LAKE ST,27TH AVE,Intersection
30TH AVE,CALIFORNIA ST,CLEMENT ST
30TH AVE,CLEMENT ST,GEARY BLVD
30TH AVE,GEARY BLVD,ANZA ST
30TH AVE,ANZA ST,BALBOA ST
30TH AVE,BALBOA ST,CABRILLO ST
30TH AVE,CABRILLO ST,FULTON ST
31ST AVE,BALBOA ST,CABRILLO ST
31ST AVE,CABRILLO ST,FULTON ST
32ND AVE,CALIFORNIA ST,MARVEL CT
32ND AVE,MARVEL CT,CLEMENT ST
32ND AVE,CLEMENT ST,GEARY BLVD
32ND AVE,GEARY BLVD,ANZA ST
32ND AVE,ANZA ST,BALBOA ST
32ND AVE,BALBOA ST,CABRILLO ST
ANZA ST,30TH AVE,Intersection
ANZA ST,32ND AVE,Intersection
BALBOA ST,30TH AVE,Intersection
BALBOA ST,31ST AVE,Intersection
BALBOA ST,32ND AVE,Intersection
CABRILLO ST,30TH AVE,Intersection
CABRILLO ST,31ST AVE,Intersection
CALIFORNIA ST,30TH AVE,Intersection
CALIFORNIA ST,32ND AVE,Intersection
CLEMENT ST,30TH AVE,Intersection
CLEMENT ST,32ND AVE,Intersection
GEARY BLVD,30TH AVE,Intersection
GEARY BLVD,32ND AVE,Intersection
MARVEL CT,32ND AVE,Intersection
18TH AVE,JUDAH ST,KIRKHAM ST
18TH AVE,KIRKHAM ST,LAWTON ST
18TH AVE,LAWTON ST,MORAGA ST
18TH AVE,MORAGA ST,NORIEGA ST
18TH AVE,NORIEGA ST,ORTEGA ST
18TH AVE,ORTEGA ST,PACHECO ST
18TH AVE,PACHECO ST,QUINTARA ST
18TH AVE,QUINTARA ST,RIVERA ST
18TH AVE,RIVERA ST,SANTIAGO ST
18TH AVE,SANTIAGO ST,TARAVAL ST
18TH AVE,TARAVAL ST,ULLOA ST
18TH AVE,ULLOA ST,VICENTE ST
18TH AVE,VICENTE ST,WAWONA ST
KIRKHAM ST,08TH AVE,Intersection
KIRKHAM ST,09TH AVE,Intersection
KIRKHAM ST,10TH AVE,Intersection
KIRKHAM ST,11TH AVE,Intersection
KIRKHAM ST,12TH AVE,Intersection
KIRKHAM ST,FUNSTON AVE,Intersection
KIRKHAM ST,15TH AVE,Intersection
KIRKHAM ST,16TH AVE,Intersection
KIRKHAM ST,17TH AVE,Intersection
KIRKHAM ST,18TH AVE,Intersection
KIRKHAM ST,19TH AVE,Intersection
KIRKHAM ST,07TH AVE,08TH AVE
KIRKHAM ST,08TH AVE,09TH AVE
KIRKHAM ST,09TH AVE,10TH AVE
KIRKHAM ST,10TH AVE,11TH AVE
KIRKHAM ST,11TH AVE,12TH AVE
KIRKHAM ST,12TH AVE,FUNSTON AVE
KIRKHAM ST,FUNSTON AVE,14TH AVE \ LURLINE ST
KIRKHAM ST,14TH AVE \ LURLINE ST,15TH AVE
KIRKHAM ST,15TH AVE,16TH AVE
KIRKHAM ST,16TH AVE,17TH AVE
KIRKHAM ST,17TH AVE,18TH AVE
KIRKHAM ST,18TH AVE,19TH AVE
KIRKHAM ST,19TH AVE,20TH AVE
LAWTON ST,18TH AVE,Intersection
LURLINE ST,14TH AVE \ KIRKHAM ST,Intersection
MORAGA ST,18TH AVE,Intersection
NORIEGA ST,18TH AVE,Intersection
PACHECO ST,18TH AVE,Intersection
QUINTARA ST,15TH AVE \ FANNING WAY,16TH AVE
QUINTARA ST,16TH AVE,17TH AVE
QUINTARA ST,17TH AVE,18TH AVE
QUINTARA ST,18TH AVE,19TH AVE
QUINTARA ST,16TH AVE,Intersection
QUINTARA ST,17TH AVE,Intersection
QUINTARA ST,18TH AVE,Intersection
RIVERA ST,18TH AVE,Intersection
SANTIAGO ST,18TH AVE,Intersection
TARAVAL ST,18TH AVE,Intersection
ULLOA ST,17TH AVE,18TH AVE
ULLOA ST,18TH AVE,19TH AVE
ULLOA ST,19TH AVE,20TH AVE
ULLOA ST,20TH AVE,21ST AVE
ULLOA ST,21ST AVE,22ND AVE
ULLOA ST,22ND AVE,23RD AVE
ULLOA ST,23RD AVE,24TH AVE
ULLOA ST,24TH AVE,25TH AVE
ULLOA ST,25TH AVE,26TH AVE
ULLOA ST,26TH AVE,27TH AVE
ULLOA ST,27TH AVE,28TH AVE
ULLOA ST,28TH AVE,29TH AVE
ULLOA ST,29TH AVE,30TH AVE
ULLOA ST,30TH AVE,31ST AVE
ULLOA ST,31ST AVE,32ND AVE
ULLOA ST,32ND AVE,33RD AVE
ULLOA ST,33RD AVE,34TH AVE
ULLOA ST,34TH AVE,35TH AVE
ULLOA ST,35TH AVE,36TH AVE
ULLOA ST,36TH AVE,SUNSET BLVD
ULLOA ST,SUNSET BLVD,37TH AVE
ULLOA ST,37TH AVE,38TH AVE
ULLOA ST,38TH AVE,39TH AVE
ULLOA ST,39TH AVE,40TH AVE
ULLOA ST,40TH AVE,41ST AVE
ULLOA ST,41ST AVE,42ND AVE
ULLOA ST,42ND AVE,43RD AVE
ULLOA ST,43RD AVE,44TH AVE
ULLOA ST,44TH AVE,45TH AVE
ULLOA ST,45TH AVE,46TH AVE
ULLOA ST,46TH AVE,47TH AVE
ULLOA ST,47TH AVE,48TH AVE \ GREAT HWY
ULLOA ST,18TH AVE,Intersection
ULLOA ST,19TH AVE,Intersection
ULLOA ST,20TH AVE,Intersection
ULLOA ST,21ST AVE,Intersection
ULLOA ST,22ND AVE,Intersection
ULLOA ST,23RD AVE,Intersection
ULLOA ST,24TH AVE,Intersection
ULLOA ST,25TH AVE,Intersection
ULLOA ST,26TH AVE,Intersection
ULLOA ST,27TH AVE,Intersection
ULLOA ST,28TH AVE,Intersection
ULLOA ST,29TH AVE,Intersection
ULLOA ST,30TH AVE,Intersection
ULLOA ST,31ST AVE,Intersection
ULLOA ST,32ND AVE,Intersection
ULLOA ST,33RD AVE,Intersection
ULLOA ST,34TH AVE,Intersection
ULLOA ST,35TH AVE,Intersection
ULLOA ST,36TH AVE,Intersection
ULLOA ST,37TH AVE,Intersection
ULLOA ST,38TH AVE,Intersection
ULLOA ST,SUNSET BLVD,Intersection
ULLOA ST,39TH AVE,Intersection
ULLOA ST,40TH AVE,Intersection
ULLOA ST,41ST AVE,Intersection
ULLOA ST,42ND AVE,Intersection
ULLOA ST,43RD AVE,Intersection
ULLOA ST,44TH AVE,Intersection
ULLOA ST,45TH AVE,Intersection
ULLOA ST,46TH AVE,Intersection
ULLOA ST,47TH AVE,Intersection
VICENTE ST,FOREST SIDE AVE,14TH AVE
VICENTE ST,14TH AVE,15TH AVE
VICENTE ST,15TH AVE,16TH AVE
VICENTE ST,16TH AVE,17TH AVE
VICENTE ST,17TH AVE,18TH AVE
VICENTE ST,18TH AVE,19TH AVE
VICENTE ST,14TH AVE,Intersection
VICENTE ST,15TH AVE,Intersection
VICENTE ST,16TH AVE,Intersection
VICENTE ST,17TH AVE,Intersection
VICENTE ST,18TH AVE,Intersection
VICENTE ST,18TH AVE,Intersection
44TH AVE,TARAVAL ST,ULLOA ST
44TH AVE,ULLOA ST,VICENTE ST
44TH AVE,VICENTE ST,WAWONA ST
44TH AVE,WAWONA ST,SLOAT BLVD
45TH AVE,TARAVAL ST,ULLOA ST
45TH AVE,ULLOA ST,VICENTE ST
45TH AVE,VICENTE ST,WAWONA ST
45TH AVE,WAWONA ST,SLOAT BLVD
46TH AVE,TARAVAL ST,ULLOA ST
46TH AVE,ULLOA ST,VICENTE ST
46TH AVE,VICENTE ST,WAWONA ST
46TH AVE,WAWONA ST,SLOAT BLVD
47TH AVE,TARAVAL ST,ULLOA ST
47TH AVE,ULLOA ST,VICENTE ST
47TH AVE,VICENTE ST,CUTLER AVE
47TH AVE,CUTLER AVE,WAWONA ST
47TH AVE,WAWONA ST,SLOAT BLVD
CUTLER AVE,47TH AVE,Intersection
SLOAT BLVD,46TH AVE,Intersection
ULLOA ST,44TH AVE,Intersection
ULLOA ST,45TH AVE,Intersection
ULLOA ST,46TH AVE,Intersection
ULLOA ST,47TH AVE,Intersection
VICENTE ST,44TH AVE,Intersection
VICENTE ST,45TH AVE,Intersection
VICENTE ST,46TH AVE,Intersection
VICENTE ST,47TH AVE,Intersection
WAWONA ST,44TH AVE,Intersection
WAWONA ST,45TH AVE,Intersection
WAWONA ST,46TH AVE,Intersection
WAWONA ST,47TH AVE,Intersection
33RD AVE,CLEMENT ST,GEARY BLVD
33RD AVE,GEARY BLVD,ANZA ST
33RD AVE,ANZA ST,BALBOA ST
33RD AVE,BALBOA ST,CABRILLO ST
34TH AVE,CLEMENT ST \ LEGION OF HONOR DR,GEARY BLVD
34TH AVE,GEARY BLVD,ANZA ST
34TH AVE,ANZA ST,BALBOA ST
34TH AVE,BALBOA ST,CABRILLO ST
34TH AVE,CABRILLO ST,FULTON ST
35TH AVE,CLEMENT ST,GEARY BLVD
35TH AVE,GEARY BLVD,ANZA ST
35TH AVE,ANZA ST,BALBOA ST
35TH AVE,BALBOA ST,CABRILLO ST
35TH AVE,CABRILLO ST,FULTON ST
ANZA ST,33RD AVE,Intersection
ANZA ST,34TH AVE,Intersection
ANZA ST,35TH AVE,Intersection
BALBOA ST,33RD AVE,Intersection
BALBOA ST,34TH AVE,Intersection
BALBOA ST,35TH AVE,Intersection
CABRILLO ST,34TH AVE,Intersection
CABRILLO ST,35TH AVE,Intersection
GEARY BLVD,33RD AVE,Intersection
GEARY BLVD,34TH AVE,Intersection
GEARY BLVD,35TH AVE,Intersection
40TH AVE,TARAVAL ST,ULLOA ST
40TH AVE,ULLOA ST,VICENTE ST
40TH AVE,VICENTE ST,WAWONA ST
40TH AVE,WAWONA ST,YORBA ST
41ST AVE,TARAVAL ST,ULLOA ST
41ST AVE,ULLOA ST,VICENTE ST
42ND AVE,TARAVAL ST,ULLOA ST
42ND AVE,ULLOA ST,VICENTE ST
42ND AVE,VICENTE ST,WAWONA ST
42ND AVE,WAWONA ST,SLOAT BLVD
43RD AVE,TARAVAL ST,ULLOA ST
43RD AVE,ULLOA ST,VICENTE ST
43RD AVE,VICENTE ST,WAWONA ST
43RD AVE,WAWONA ST,SLOAT BLVD
ULLOA ST,40TH AVE,Intersection
ULLOA ST,41ST AVE,Intersection
ULLOA ST,42ND AVE,Intersection
ULLOA ST,43RD AVE,Intersection
VICENTE ST,42ND AVE,Intersection
VICENTE ST,40TH AVE,Intersection
VICENTE ST,43RD AVE,Intersection
WAWONA ST,40TH AVE,Intersection
WAWONA ST,42ND AVE,Intersection
WAWONA ST,43RD AVE,Intersection
37TH AVE,TARAVAL ST,ULLOA ST
37TH AVE,ULLOA ST,VICENTE ST
37TH AVE,VICENTE ST,WAWONA ST
37TH AVE,WAWONA ST,YORBA ST
37TH AVE,YORBA ST,SLOAT BLVD
38TH AVE,TARAVAL ST,ULLOA ST
38TH AVE,ULLOA ST,VICENTE ST
38TH AVE,VICENTE ST,WAWONA ST
38TH AVE,WAWONA ST,YORBA ST
39TH AVE,TARAVAL ST,ULLOA ST
39TH AVE,ULLOA ST,VICENTE ST
ULLOA ST,37TH AVE,Intersection
ULLOA ST,38TH AVE,Intersection
ULLOA ST,39TH AVE,Intersection
VICENTE ST,37TH AVE,Intersection
VICENTE ST,38TH AVE,Intersection
WAWONA ST,37TH AVE,Intersection
WAWONA ST,38TH AVE,Intersection
YORBA ST,37TH AVE,Intersection
34TH AVE,TARAVAL ST,ULLOA ST
34TH AVE,ULLOA ST,VICENTE ST
35TH AVE,TARAVAL ST,ULLOA ST
35TH AVE,ULLOA ST,VICENTE ST
35TH AVE,VICENTE ST,WAWONA ST
35TH AVE,WAWONA ST,YORBA ST
35TH AVE,YORBA ST,EASEMENT
